Id,Title,Type,Category,Genre,Description,Createddate,RankingScore,PopularityScore
1,Once Upon a Time in Hollywood 9,Movie,Classic,"Drama, Romance",A gripping story of heroism and sacrifice.,2018-03-12,7.7,67
2,Everything Everywhere All at Once 8,Movie,Hollywood,Biography,An epic journey through space and time.,2016-11-03,8.2,66
3,The Revenant,Movie,International,"Fantasy, Drama",Intense psychological thriller.,2021-06-11,9.4,84
4,Everything Everywhere All at Once,Movie,Bollywood,Horror,A gripping story of heroism and sacrifice.,2024-01-26,6.8,80
5,Parasite,Movie,Indie,Mystery,Intense psychological thriller.,2013-04-27,9.8,78
6,Parasite,Movie,Indie,"Thriller, Horror",Intense psychological thriller.,2016-09-15,8.6,80
7,La La Land 1,Movie,Blockbuster,Horror,Visual spectacle with groundbreaking effects.,2014-03-10,8.5,72
8,Spider-Man: No Way Home 8,Movie,International,"Adventure, Fantasy",A gripping story of heroism and sacrifice.,2019-10-02,8.9,83
9,Spider-Man: No Way Home 9,Movie,Hollywood,Biography,A gripping story of heroism and sacrifice.,2018-05-26,7.7,89
10,No Time to Die 1,Movie,International,Romance,Revolutionary storytelling and stunning action.,2016-08-27,7.7,85
11,Interstellar,Movie,International,Mystery,A masterpiece of direction and acting.,2015-06-20,7.0,74
12,Dune 4,Movie,Hollywood,"Mystery, Fantasy",A gripping story of heroism and sacrifice.,2018-10-12,9.2,85
13,Forrest Gump 6,Movie,Bollywood,"Fantasy, Adventure",Mind-bending visuals and deep philosophical themes.,2021-01-01,6.7,75
14,Spider-Man: No Way Home 7,Movie,Classic,Comedy,Mind-bending visuals and deep philosophical themes.,2018-10-01,6.8,75
15,Tenet,Movie,Hollywood,Biography,Heartwarming tale with unforgettable characters.,2025-04-02,7.1,70
16,Forrest Gump,Movie,Classic,"Comedy, Thriller",A masterpiece of direction and acting.,2016-04-10,6.2,96
17,Once Upon a Time in Hollywood,Movie,Bollywood,Mystery,Intense psychological thriller.,2020-12-05,6.6,67
18,The Matrix,Movie,Blockbuster,"Biography, Thriller",Mind-bending visuals and deep philosophical themes.,2024-10-18,6.4,69
19,Fight Club 2,Movie,Blockbuster,Sci-Fi,A gripping story of heroism and sacrifice.,2018-07-21,9.2,67
20,Inception,Movie,Blockbuster,Action,A gripping story of heroism and sacrifice.,2018-05-12,7.2,87
21,The Revenant,Movie,Classic,Romance,Visual spectacle with groundbreaking effects.,2025-09-15,6.9,76
22,Dune,Movie,Blockbuster,"Adventure, Adventure",Revolutionary storytelling and stunning action.,2018-11-23,9.3,78
23,Oppenheimer,Movie,International,"Fantasy, Comedy",Visual spectacle with groundbreaking effects.,2019-05-01,9.8,80
24,The Godfather 5,Movie,Blockbuster,Sci-Fi,An epic journey through space and time.,2022-01-14,6.4,66
25,The Matrix 4,Movie,Blockbuster,Mystery,Heartwarming tale with unforgettable characters.,2022-11-27,7.3,76
26,1917,Movie,Indie,"Sci-Fi, Action",Intense psychological thriller.,2024-06-23,9.3,89
27,The Shawshank Redemption,Movie,Bollywood,Comedy,A masterpiece of direction and acting.,2014-04-20,7.9,77
28,Spider-Man: No Way Home,Movie,Hollywood,"Drama, Romance",A masterpiece of direction and acting.,2021-01-18,8.4,79
29,Oppenheimer,Movie,Bollywood,"Adventure, Thriller",An epic journey through space and time.,2023-01-24,6.4,99
30,Jojo Rabbit 5,Movie,Indie,"Horror, Mystery",Mind-bending visuals and deep philosophical themes.,2017-10-14,6.5,86
31,No Time to Die,Movie,Bollywood,"Action, Comedy",Heartwarming tale with unforgettable characters.,2013-06-01,6.1,67
32,Avengers: Endgame,Movie,Classic,Drama,An epic journey through space and time.,2025-09-04,8.7,65
33,Interstellar,Movie,Blockbuster,Romance,An epic journey through space and time.,2017-06-18,9.7,82
34,The Godfather,Movie,Indie,Drama,A masterpiece of direction and acting.,2017-11-13,7.8,81
35,Get Out 4,Movie,Indie,Crime,Revolutionary storytelling and stunning action.,2023-05-15,8.0,83
36,Oppenheimer,Movie,International,Sci-Fi,Intense psychological thriller.,2021-10-23,7.0,69
37,Inception,Movie,Classic,"Drama, Thriller",An epic journey through space and time.,2016-07-04,8.4,81
38,No Time to Die 4,Movie,Blockbuster,Action,A gripping story of heroism and sacrifice.,2015-08-03,8.7,73
39,Dune,Movie,Indie,"Romance, Romance",Heartwarming tale with unforgettable characters.,2022-07-09,9.1,88
40,Fight Club 4,Movie,Bollywood,"Mystery, Adventure",A gripping story of heroism and sacrifice.,2021-01-03,8.4,72
41,Jojo Rabbit,Movie,Blockbuster,"Fantasy, Fantasy",Mind-bending visuals and deep philosophical themes.,2020-05-23,8.1,74
42,Everything Everywhere All at Once,Movie,Blockbuster,"Thriller, Drama",Mind-bending visuals and deep philosophical themes.,2019-06-16,9.1,65
43,Whiplash 1,Movie,Bollywood,Crime,Visual spectacle with groundbreaking effects.,2022-03-29,7.7,88
44,Whiplash,Movie,Classic,Biography,A masterpiece of direction and acting.,2020-07-15,6.5,94
45,No Time to Die 4,Movie,Classic,Adventure,Intense psychological thriller.,2025-03-29,9.5,91
46,The Dark Knight,Movie,Indie,"Drama, Adventure",Intense psychological thriller.,2019-03-09,6.7,77
47,Pulp Fiction 9,Movie,Indie,Fantasy,An epic journey through space and time.,2013-02-21,9.5,70
48,1917,Movie,Classic,"Sci-Fi, Action",Intense psychological thriller.,2014-10-30,6.3,87
